ticker,date,folder,sentence_count,stock_return,label
A,2016-05-16,20160516_A,44,0.034233814623086355,positive
A,2016-08-17,20160817_A,63,-0.035308692959747465,negative
A,2016-11-15,20161115_A,132,0.01718061673905322,positive
A,2017-02-14,20170214_A,51,0.024409605079291193,positive
AAP,2016-02-11,20160211_AAP,21,0.017050791127991172,positive
AAP,2016-05-19,20160519_AAP,26,0.019855092656765185,positive
AAP,2016-11-14,20161114_AAP,77,0.14996501049661068,positive
AAP,2017-02-21,20170221_AAP,49,-0.00912193608410832,negative
AAP,2017-05-24,20170524_AAP,23,-0.007893549842691376,negative
AAPL,2015-07-21,20150721_AAPL,85,-0.042294455066875715,negative
AAPL,2016-10-25,20161025_AAPL,70,-0.02249471458800569,negative
AAPL,2017-05-02,20170502_AAPL,298,-0.003050640632427941,negative
AAPL,2017-08-01,20170801_AAPL,285,0.04725091636109469,positive
ABBV,2016-04-28,20160428_ABBV,23,-0.0032679738550410375,negative
ABBV,2016-07-29,20160729_ABBV,23,0.010720217422513547,positive
ABBV,2017-04-27,20170427_ABBV,11,-0.0019676101108355008,neutral
ABBV,2017-10-27,20171027_ABBV,8,-0.010551506581155331,negative
ABT,2016-04-20,20160420_ABT,26,-0.002046850125327001,neutral
ABT,2016-10-19,20161019_ABT,100,0.018245438639727083,positive
ABT,2017-04-19,20170419_ABT,309,0.008947006195297442,neutral
ABT,2017-07-20,20170720_ABT,85,-0.00019665683470029808,neutral
ACN,2015-09-24,20150924_ACN,164,-0.008489311649298772,negative
ACN,2015-12-17,20151217_ACN,93,-0.01288010846386567,negative
ACN,2016-09-29,20160929_ACN,78,0.004357119368380073,neutral
ACN,2017-03-23,20170323_ACN,18,-0.014739980125891214,negative
ACN,2017-06-22,20170622_ACN,108,0.0054062909571326,neutral
ACN,2017-12-21,20171221_ACN,157,-0.0020103761343212858,neutral
ADBE,2015-12-10,20151210_ADBE,113,0.02765287769784182,positive
ADBE,2016-09-20,20160920_ADBE,94,0.07115881534486182,positive
ADBE,2017-03-16,20170316_ADBE,103,0.03808745402533724,positive
ADI,2015-08-18,20150818_ADI,45,0.008290155440339234,neutral
ADI,2016-05-18,20160518_ADI,48,-0.0021497671097361866,negative
ADI,2017-05-31,20170531_ADI,104,-0.041394589552798275,negative
ADI,2018-05-30,20180530_ADI,228,0.023162771109765348,positive
AEE,2016-05-11,20160511_AEE,124,-0.0006230529588423671,neutral
AEE,2017-02-16,20170216_AEE,12,0.008122402717920611,neutral
AES,2015-11-05,20151105_AES,80,0.032388663967249945,positive
AES,2017-02-27,20170227_AES,84,0.03411131059993843,positive
AES,2017-05-08,20170508_AES,17,0.002652519890039224,neutral
AET,2015-04-28,20150428_AET,23,-0.02147128102995987,negative
AET,2016-02-01,20160201_AET,111,-0.014414240108229217,negative
AET,2017-01-31,20170131_AET,13,0.025292976983333236,positive
AET,2017-05-02,20170502_AET,12,0.00028795623101794514,neutral
AGN,2015-08-06,20150806_AGN,157,0.00494569130143915,neutral
AGN,2016-02-22,20160222_AGN,88,0.003358757259640136,neutral
